addee, addor, resnum, remres, remnum, remrem
04, 45, 49, 50, false, false
04, 46, 50, 51, false, false
04, 47, 51, 52, false, false
04, 48, 52, 53, false, false
04, 49, 53, 54, false, false
04, 50, 54, 55, false, false
04, 51, 55, 56, false, false
04, 52, 56, 57, false, false
04, 53, 57, 58, false, false
04, 54, 58, 59, false, false
04, 55, 59, 00, false, true
04, 56, 00, 01, true, true
04, 57, 01, 02, true, true
04, 58, 02, 03, true, true
04, 59, 03, 04, true, true
05, 00, 05, 06, false, false
05, 01, 06, 07, false, false
05, 02, 07, 08, false, false
05, 03, 08, 09, false, false
05, 04, 09, 10, false, false
05, 05, 10, 11, false, false
05, 06, 11, 12, false, false
05, 07, 12, 13, false, false
05, 08, 13, 14, false, false
05, 09, 14, 15, false, false
05, 10, 15, 16, false, false
05, 11, 16, 17, false, false
05, 12, 17, 18, false, false
05, 13, 18, 19, false, false
05, 14, 19, 20, false, false
05, 15, 20, 21, false, false
05, 16, 21, 22, false, false
05, 17, 22, 23, false, false
05, 18, 23, 24, false, false
05, 19, 24, 25, false, false
05, 20, 25, 26, false, false
05, 21, 26, 27, false, false
05, 22, 27, 28, false, false
05, 23, 28, 29, false, false
05, 24, 29, 30, false, false
05, 25, 30, 31, false, false
05, 26, 31, 32, false, false
05, 27, 32, 33, false, false
05, 28, 33, 34, false, false
05, 29, 34, 35, false, false
05, 30, 35, 36, false, false
05, 31, 36, 37, false, false
05, 32, 37, 38, false, false
05, 33, 38, 39, false, false
05, 34, 39, 40, false, false
05, 35, 40, 41, false, false
05, 36, 41, 42, false, false
05, 37, 42, 43, false, false
05, 38, 43, 44, false, false
05, 39, 44, 45, false, false
05, 40, 45, 46, false, false
05, 41, 46, 47, false, false
05, 42, 47, 48, false, false
05, 43, 48, 49, false, false
05, 44, 49, 50, false, false
05, 45, 50, 51, false, false
05, 46, 51, 52, false, false
05, 47, 52, 53, false, false
05, 48, 53, 54, false, false
05, 49, 54, 55, false, false
05, 50, 55, 56, false, false
05, 51, 56, 57, false, false
05, 52, 57, 58, false, false
05, 53, 58, 59, false, false
05, 54, 59, 00, false, true
05, 55, 00, 01, true, true
05, 56, 01, 02, true, true
05, 57, 02, 03, true, true
05, 58, 03, 04, true, true
05, 59, 04, 05, true, true
06, 00, 06, 07, false, false
06, 01, 07, 08, false, false
06, 02, 08, 09, false, false
06, 03, 09, 10, false, false
06, 04, 10, 11, false, false
06, 05, 11, 12, false, false
06, 06, 12, 13, false, false
06, 07, 13, 14, false, false
06, 08, 14, 15, false, false
06, 09, 15, 16, false, false
06, 10, 16, 17, false, false
06, 11, 17, 18, false, false
06, 12, 18, 19, false, false
06, 13, 19, 20, false, false
06, 14, 20, 21, false, false
06, 15, 21, 22, false, false
06, 16, 22, 23, false, false
06, 17, 23, 24, false, false
06, 18, 24, 25, false, false
06, 19, 25, 26, false, false
06, 20, 26, 27, false, false
06, 21, 27, 28, false, false
06, 22, 28, 29, false, false
06, 23, 29, 30, false, false
06, 24, 30, 31, false, false
06, 25, 31, 32, false, false
06, 26, 32, 33, false, false
06, 27, 33, 34, false, false
06, 28, 34, 35, false, false
06, 29, 35, 36, false, false
06, 30, 36, 37, false, false
06, 31, 37, 38, false, false
06, 32, 38, 39, false, false
06, 33, 39, 40, false, false
06, 34, 40, 41, false, false
06, 35, 41, 42, false, false
06, 36, 42, 43, false, false
06, 37, 43, 44, false, false
06, 38, 44, 45, false, false
06, 39, 45, 46, false, false
06, 40, 46, 47, false, false
06, 41, 47, 48, false, false
06, 42, 48, 49, false, false
06, 43, 49, 50, false, false
06, 44, 50, 51, false, false
06, 45, 51, 52, false, false
06, 46, 52, 53, false, false
06, 47, 53, 54, false, false
06, 48, 54, 55, false, false
06, 49, 55, 56, false, false
06, 50, 56, 57, false, false
06, 51, 57, 58, false, false
06, 52, 58, 59, false, false
06, 53, 59, 00, false, true
06, 54, 00, 01, true, true
06, 55, 01, 02, true, true
06, 56, 02, 03, true, true
06, 57, 03, 04, true, true
06, 58, 04, 05, true, true
06, 59, 05, 06, true, true
07, 00, 07, 08, false, false
07, 01, 08, 09, false, false
07, 02, 09, 10, false, false
07, 03, 10, 11, false, false
07, 04, 11, 12, false, false
07, 05, 12, 13, false, false
07, 06, 13, 14, false, false
07, 07, 14, 15, false, false
07, 08, 15, 16, false, false
07, 09, 16, 17, false, false
07, 10, 17, 18, false, false
07, 11, 18, 19, false, false
07, 12, 19, 20, false, false
07, 13, 20, 21, false, false
07, 14, 21, 22, false, false
07, 15, 22, 23, false, false
07, 16, 23, 24, false, false
07, 17, 24, 25, false, false
07, 18, 25, 26, false, false
07, 19, 26, 27, false, false
07, 20, 27, 28, false, false
07, 21, 28, 29, false, false
07, 22, 29, 30, false, false
07, 23, 30, 31, false, false
07, 24, 31, 32, false, false
07, 25, 32, 33, false, false
07, 26, 33, 34, false, false
07, 27, 34, 35, false, false
07, 28, 35, 36, false, false
07, 29, 36, 37, false, false
07, 30, 37, 38, false, false
07, 31, 38, 39, false, false
07, 32, 39, 40, false, false
07, 33, 40, 41, false, false
07, 34, 41, 42, false, false
07, 35, 42, 43, false, false
07, 36, 43, 44, false, false
07, 37, 44, 45, false, false
07, 38, 45, 46, false, false
07, 39, 46, 47, false, false
07, 40, 47, 48, false, false
07, 41, 48, 49, false, false
